,country,date,variant,num_sequences,perc_sequences,num_sequences_total
0,Angola,2020-07-06,Alpha,0,0.0,3
5,Angola,2020-07-06,B.1.177,0,0.0,3
11,Angola,2020-07-06,Delta,0,0.0,3
19,Angola,2020-07-06,Omicron,0,0.0,3
23,Angola,2020-07-06,non_who,3,100.0,3
24,Angola,2020-08-31,Alpha,0,0.0,1
29,Angola,2020-08-31,B.1.177,0,0.0,1
35,Angola,2020-08-31,Delta,0,0.0,1
43,Angola,2020-08-31,Omicron,0,0.0,1
47,Angola,2020-08-31,non_who,0,0.0,1
48,Angola,2020-09-28,Alpha,0,0.0,10
53,Angola,2020-09-28,B.1.177,0,0.0,10
59,Angola,2020-09-28,Delta,0,0.0,10
67,Angola,2020-09-28,Omicron,0,0.0,10
71,Angola,2020-09-28,non_who,1,10.0,10
72,Angola,2020-10-12,Alpha,0,0.0,29
77,Angola,2020-10-12,B.1.177,0,0.0,29
83,Angola,2020-10-12,Delta,0,0.0,29
91,Angola,2020-10-12,Omicron,0,0.0,29
95,Angola,2020-10-12,non_who,5,17.24,29
96,Angola,2020-10-26,Alpha,0,0.0,7
101,Angola,2020-10-26,B.1.177,0,0.0,7
107,Angola,2020-10-26,Delta,0,0.0,7
115,Angola,2020-10-26,Omicron,0,0.0,7
119,Angola,2020-10-26,non_who,0,0.0,7
120,Angola,2020-12-07,Alpha,0,0.0,6
125,Angola,2020-12-07,B.1.177,0,0.0,6
131,Angola,2020-12-07,Delta,0,0.0,6
139,Angola,2020-12-07,Omicron,0,0.0,6
143,Angola,2020-12-07,non_who,0,0.0,6
144,Angola,2020-12-21,Alpha,0,0.0,93
149,Angola,2020-12-21,B.1.177,0,0.0,93
155,Angola,2020-12-21,Delta,0,0.0,93
163,Angola,2020-12-21,Omicron,0,0.0,93
167,Angola,2020-12-21,non_who,23,24.73,93
168,Angola,2021-01-04,Alpha,0,0.0,5
173,Angola,2021-01-04,B.1.177,0,0.0,5
179,Angola,2021-01-04,Delta,0,0.0,5
187,Angola,2021-01-04,Omicron,0,0.0,5
191,Angola,2021-01-04,non_who,5,100.0,5
192,Angola,2021-01-11,Alpha,0,0.0,16
197,Angola,2021-01-11,B.1.177,0,0.0,16
203,Angola,2021-01-11,Delta,0,0.0,16
211,Angola,2021-01-11,Omicron,0,0.0,16
215,Angola,2021-01-11,non_who,15,93.75,16
216,Angola,2021-01-25,Alpha,3,5.77,52
221,Angola,2021-01-25,B.1.177,2,3.85,52
227,Angola,2021-01-25,Delta,0,0.0,52
235,Angola,2021-01-25,Omicron,0,0.0,52
239,Angola,2021-01-25,non_who,47,90.38,52
240,Angola,2021-02-08,Alpha,4,9.52,42
245,Angola,2021-02-08,B.1.177,0,0.0,42
251,Angola,2021-02-08,Delta,0,0.0,42
259,Angola,2021-02-08,Omicron,0,0.0,42
263,Angola,2021-02-08,non_who,26,61.91,42
264,Angola,2021-02-22,Alpha,1,2.56,39
269,Angola,2021-02-22,B.1.177,1,2.56,39
275,Angola,2021-02-22,Delta,0,0.0,39
283,Angola,2021-02-22,Omicron,0,0.0,39
287,Angola,2021-02-22,non_who,22,56.41,39
288,Angola,2021-03-08,Alpha,7,6.19,113
293,Angola,2021-03-08,B.1.177,1,0.88,113
299,Angola,2021-03-08,Delta,0,0.0,113
307,Angola,2021-03-08,Omicron,0,0.0,113
311,Angola,2021-03-08,non_who,37,32.75,113
312,Angola,2021-03-22,Alpha,12,9.92,121
317,Angola,2021-03-22,B.1.177,0,0.0,121
323,Angola,2021-03-22,Delta,0,0.0,121
331,Angola,2021-03-22,Omicron,0,0.0,121
335,Angola,2021-03-22,non_who,20,16.52,121
336,Angola,2021-04-05,Alpha,32,23.36,137
341,Angola,2021-04-05,B.1.177,0,0.0,137
347,Angola,2021-04-05,Delta,0,0.0,137
355,Angola,2021-04-05,Omicron,0,0.0,137
359,Angola,2021-04-05,non_who,30,21.89,137
360,Angola,2021-04-19,Alpha,21,25.3,83
365,Angola,2021-04-19,B.1.177,0,0.0,83
371,Angola,2021-04-19,Delta,2,2.41,83
379,Angola,2021-04-19,Omicron,0,0.0,83
383,Angola,2021-04-19,non_who,26,31.33,83
384,Angola,2021-05-03,Alpha,11,32.35,34
389,Angola,2021-05-03,B.1.177,0,0.0,34
395,Angola,2021-05-03,Delta,1,2.94,34
403,Angola,2021-05-03,Omicron,0,0.0,34
407,Angola,2021-05-03,non_who,5,14.71,34
408,Angola,2021-05-17,Alpha,0,0.0,5
413,Angola,2021-05-17,B.1.177,0,0.0,5
419,Angola,2021-05-17,Delta,4,80.0,5
427,Angola,2021-05-17,Omicron,0,0.0,5
431,Angola,2021-05-17,non_who,1,20.0,5
432,Angola,2021-05-31,Alpha,7,100.0,7
437,Angola,2021-05-31,B.1.177,0,0.0,7
443,Angola,2021-05-31,Delta,0,0.0,7
451,Angola,2021-05-31,Omicron,0,0.0,7
455,Angola,2021-05-31,non_who,0,0.0,7
456,Angola,2021-06-14,Alpha,17,77.27,22
461,Angola,2021-06-14,B.1.177,0,0.0,22
467,Angola,2021-06-14,Delta,0,0.0,22
475,Angola,2021-06-14,Omicron,0,0.0,22
479,Angola,2021-06-14,non_who,0,0.0,22
480,Angola,2021-06-28,Alpha,30,50.85,59
485,Angola,2021-06-28,B.1.177,0,0.0,59
491,Angola,2021-06-28,Delta,10,16.95,59
499,Angola,2021-06-28,Omicron,0,0.0,59
503,Angola,2021-06-28,non_who,1,1.69,59
504,Angola,2021-07-12,Alpha,9,19.57,46
509,Angola,2021-07-12,B.1.177,0,0.0,46
515,Angola,2021-07-12,Delta,23,50.0,46
523,Angola,2021-07-12,Omicron,0,0.0,46
527,Angola,2021-07-12,non_who,2,4.34,46
528,Angola,2021-07-26,Alpha,2,20.0,10
533,Angola,2021-07-26,B.1.177,0,0.0,10
539,Angola,2021-07-26,Delta,6,60.0,10
547,Angola,2021-07-26,Omicron,0,0.0,10
551,Angola,2021-07-26,non_who,1,10.0,10
552,Angola,2021-08-09,Alpha,0,0.0,4
557,Angola,2021-08-09,B.1.177,0,0.0,4
563,Angola,2021-08-09,Delta,3,75.0,4
571,Angola,2021-08-09,Omicron,0,0.0,4
575,Angola,2021-08-09,non_who,0,0.0,4
576,Angola,2021-08-23,Alpha,0,0.0,1
581,Angola,2021-08-23,B.1.177,0,0.0,1
587,Angola,2021-08-23,Delta,1,100.0,1
595,Angola,2021-08-23,Omicron,0,0.0,1
599,Angola,2021-08-23,non_who,0,0.0,1
600,Angola,2021-09-06,Alpha,0,0.0,20
605,Angola,2021-09-06,B.1.177,0,0.0,20
611,Angola,2021-09-06,Delta,20,100.0,20
619,Angola,2021-09-06,Omicron,0,0.0,20
623,Angola,2021-09-06,non_who,0,0.0,20
624,Angola,2021-09-20,Alpha,0,0.0,57
629,Angola,2021-09-20,B.1.177,0,0.0,57
635,Angola,2021-09-20,Delta,57,100.0,57
643,Angola,2021-09-20,Omicron,0,0.0,57
647,Angola,2021-09-20,non_who,0,0.0,57
648,Angola,2021-10-04,Alpha,0,0.0,33
653,Angola,2021-10-04,B.1.177,0,0.0,33
659,Angola,2021-10-04,Delta,33,100.0,33
667,Angola,2021-10-04,Omicron,0,0.0,33
671,Angola,2021-10-04,non_who,0,0.0,33
672,Argentina,2020-05-11,Alpha,0,0.0,151
677,Argentina,2020-05-11,B.1.177,0,0.0,151
683,Argentina,2020-05-11,Delta,0,0.0,151
691,Argentina,2020-05-11,Omicron,0,0.0,151
695,Argentina,2020-05-11,non_who,151,100.0,151
696,Argentina,2020-05-25,Alpha,0,0.0,167
701,Argentina,2020-05-25,B.1.177,0,0.0,167
707,Argentina,2020-05-25,Delta,0,0.0,167
715,Argentina,2020-05-25,Omicron,0,0.0,167
719,Argentina,2020-05-25,non_who,167,100.0,167
720,Argentina,2020-06-08,Alpha,0,0.0,67
725,Argentina,2020-06-08,B.1.177,0,0.0,67
731,Argentina,2020-06-08,Delta,0,0.0,67
739,Argentina,2020-06-08,Omicron,0,0.0,67
743,Argentina,2020-06-08,non_who,67,100.0,67
744,Argentina,2020-06-22,Alpha,0,0.0,79
749,Argentina,2020-06-22,B.1.177,0,0.0,79
755,Argentina,2020-06-22,Delta,0,0.0,79
763,Argentina,2020-06-22,Omicron,0,0.0,79
767,Argentina,2020-06-22,non_who,79,100.0,79
768,Argentina,2020-07-06,Alpha,0,0.0,63
773,Argentina,2020-07-06,B.1.177,0,0.0,63
779,Argentina,2020-07-06,Delta,0,0.0,63
787,Argentina,2020-07-06,Omicron,0,0.0,63
791,Argentina,2020-07-06,non_who,63,100.0,63
792,Argentina,2020-07-20,Alpha,0,0.0,113
797,Argentina,2020-07-20,B.1.177,0,0.0,113
803,Argentina,2020-07-20,Delta,0,0.0,113
811,Argentina,2020-07-20,Omicron,0,0.0,113
815,Argentina,2020-07-20,non_who,113,100.0,113
816,Argentina,2020-08-03,Alpha,0,0.0,103
821,Argentina,2020-08-03,B.1.177,0,0.0,103
827,Argentina,2020-08-03,Delta,0,0.0,103
835,Argentina,2020-08-03,Omicron,0,0.0,103
839,Argentina,2020-08-03,non_who,103,100.0,103
840,Argentina,2020-08-17,Alpha,0,0.0,113
845,Argentina,2020-08-17,B.1.177,0,0.0,113
851,Argentina,2020-08-17,Delta,0,0.0,113
859,Argentina,2020-08-17,Omicron,0,0.0,113
863,Argentina,2020-08-17,non_who,113,100.0,113
864,Argentina,2020-08-31,Alpha,0,0.0,138
869,Argentina,2020-08-31,B.1.177,0,0.0,138
875,Argentina,2020-08-31,Delta,0,0.0,138
883,Argentina,2020-08-31,Omicron,0,0.0,138
887,Argentina,2020-08-31,non_who,138,100.0,138
888,Argentina,2020-09-14,Alpha,0,0.0,50
893,Argentina,2020-09-14,B.1.177,0,0.0,50
899,Argentina,2020-09-14,Delta,0,0.0,50
907,Argentina,2020-09-14,Omicron,0,0.0,50
911,Argentina,2020-09-14,non_who,50,100.0,50
912,Argentina,2020-09-28,Alpha,0,0.0,56
917,Argentina,2020-09-28,B.1.177,0,0.0,56
923,Argentina,2020-09-28,Delta,0,0.0,56
931,Argentina,2020-09-28,Omicron,0,0.0,56
935,Argentina,2020-09-28,non_who,56,100.0,56
936,Argentina,2020-10-12,Alpha,0,0.0,39
941,Argentina,2020-10-12,B.1.177,0,0.0,39
947,Argentina,2020-10-12,Delta,0,0.0,39
955,Argentina,2020-10-12,Omicron,0,0.0,39
959,Argentina,2020-10-12,non_who,39,100.0,39
960,Argentina,2020-10-26,Alpha,0,0.0,102
965,Argentina,2020-10-26,B.1.177,0,0.0,102
971,Argentina,2020-10-26,Delta,0,0.0,102
979,Argentina,2020-10-26,Omicron,0,0.0,102
983,Argentina,2020-10-26,non_who,102,100.0,102
984,Argentina,2020-11-09,Alpha,0,0.0,58
989,Argentina,2020-11-09,B.1.177,0,0.0,58
995,Argentina,2020-11-09,Delta,0,0.0,58
1003,Argentina,2020-11-09,Omicron,0,0.0,58
1007,Argentina,2020-11-09,non_who,57,98.28,58
1008,Argentina,2020-11-23,Alpha,0,0.0,63
1013,Argentina,2020-11-23,B.1.177,0,0.0,63
1019,Argentina,2020-11-23,Delta,1,1.59,63
1027,Argentina,2020-11-23,Omicron,0,0.0,63
1031,Argentina,2020-11-23,non_who,62,98.41,63
1032,Argentina,2020-12-07,Alpha,0,0.0,49
1037,Argentina,2020-12-07,B.1.177,0,0.0,49
1043,Argentina,2020-12-07,Delta,0,0.0,49
1051,Argentina,2020-12-07,Omicron,0,0.0,49
1055,Argentina,2020-12-07,non_who,49,100.0,49
1056,Argentina,2020-12-21,Alpha,0,0.0,71
1061,Argentina,2020-12-21,B.1.177,0,0.0,71
1067,Argentina,2020-12-21,Delta,0,0.0,71
1075,Argentina,2020-12-21,Omicron,0,0.0,71
1079,Argentina,2020-12-21,non_who,71,100.0,71
1080,Argentina,2021-01-04,Alpha,1,2.04,49
1085,Argentina,2021-01-04,B.1.177,0,0.0,49
1091,Argentina,2021-01-04,Delta,0,0.0,49
1099,Argentina,2021-01-04,Omicron,0,0.0,49
1103,Argentina,2021-01-04,non_who,48,97.96,49
1104,Argentina,2021-01-11,Alpha,0,0.0,33
1109,Argentina,2021-01-11,B.1.177,0,0.0,33
1115,Argentina,2021-01-11,Delta,0,0.0,33
1123,Argentina,2021-01-11,Omicron,0,0.0,33
1127,Argentina,2021-01-11,non_who,32,96.97,33
1128,Argentina,2021-01-25,Alpha,0,0.0,62
1133,Argentina,2021-01-25,B.1.177,0,0.0,62
1139,Argentina,2021-01-25,Delta,0,0.0,62
1147,Argentina,2021-01-25,Omicron,0,0.0,62
1151,Argentina,2021-01-25,non_who,60,96.78,62
1152,Argentina,2021-02-08,Alpha,5,7.25,69
1157,Argentina,2021-02-08,B.1.177,0,0.0,69
1163,Argentina,2021-02-08,Delta,0,0.0,69
1171,Argentina,2021-02-08,Omicron,0,0.0,69
1175,Argentina,2021-02-08,non_who,57,82.6,69
1176,Argentina,2021-02-22,Alpha,0,0.0,57
1181,Argentina,2021-02-22,B.1.177,0,0.0,57
1187,Argentina,2021-02-22,Delta,0,0.0,57
1195,Argentina,2021-02-22,Omicron,0,0.0,57
1199,Argentina,2021-02-22,non_who,51,89.48,57
1200,Argentina,2021-03-08,Alpha,5,7.69,65
1205,Argentina,2021-03-08,B.1.177,0,0.0,65
1211,Argentina,2021-03-08,Delta,1,1.54,65
1219,Argentina,2021-03-08,Omicron,0,0.0,65
1223,Argentina,2021-03-08,non_who,47,72.3,65
1224,Argentina,2021-03-22,Alpha,22,12.43,177
1229,Argentina,2021-03-22,B.1.177,0,0.0,177
1235,Argentina,2021-03-22,Delta,0,0.0,177
1243,Argentina,2021-03-22,Omicron,0,0.0,177
1247,Argentina,2021-03-22,non_who,120,67.8,177
1248,Argentina,2021-04-05,Alpha,32,16.33,196
1253,Argentina,2021-04-05,B.1.177,0,0.0,196
1259,Argentina,2021-04-05,Delta,0,0.0,196
1267,Argentina,2021-04-05,Omicron,0,0.0,196
1271,Argentina,2021-04-05,non_who,84,42.85,196
1272,Argentina,2021-04-19,Alpha,38,12.75,298
1277,Argentina,2021-04-19,B.1.177,0,0.0,298
1283,Argentina,2021-04-19,Delta,0,0.0,298
1291,Argentina,2021-04-19,Omicron,0,0.0,298
1295,Argentina,2021-04-19,non_who,127,42.62,298
1296,Argentina,2021-05-03,Alpha,43,12.76,337
1301,Argentina,2021-05-03,B.1.177,0,0.0,337
1307,Argentina,2021-05-03,Delta,1,0.3,337
1315,Argentina,2021-05-03,Omicron,0,0.0,337
1319,Argentina,2021-05-03,non_who,78,23.13,337
1320,Argentina,2021-05-17,Alpha,41,12.13,338
1325,Argentina,2021-05-17,B.1.177,0,0.0,338
1331,Argentina,2021-05-17,Delta,0,0.0,338
1339,Argentina,2021-05-17,Omicron,0,0.0,338
1343,Argentina,2021-05-17,non_who,45,13.31,338
1344,Argentina,2021-05-31,Alpha,32,10.63,301
1349,Argentina,2021-05-31,B.1.177,0,0.0,301
1355,Argentina,2021-05-31,Delta,0,0.0,301
1363,Argentina,2021-05-31,Omicron,0,0.0,301
1367,Argentina,2021-05-31,non_who,13,4.31,301
1368,Argentina,2021-06-14,Alpha,35,8.6,407
1373,Argentina,2021-06-14,B.1.177,0,0.0,407
1379,Argentina,2021-06-14,Delta,1,0.25,407
1387,Argentina,2021-06-14,Omicron,0,0.0,407
1391,Argentina,2021-06-14,non_who,11,2.7,407
1392,Argentina,2021-06-28,Alpha,35,9.21,380
1397,Argentina,2021-06-28,B.1.177,0,0.0,380
1403,Argentina,2021-06-28,Delta,2,0.53,380
1411,Argentina,2021-06-28,Omicron,0,0.0,380
1415,Argentina,2021-06-28,non_who,7,1.84,380
1416,Argentina,2021-07-12,Alpha,15,4.21,356
1421,Argentina,2021-07-12,B.1.177,0,0.0,356
1427,Argentina,2021-07-12,Delta,19,5.34,356
1435,Argentina,2021-07-12,Omicron,0,0.0,356
1439,Argentina,2021-07-12,non_who,1,0.28,356
1440,Argentina,2021-07-26,Alpha,14,4.17,336
1445,Argentina,2021-07-26,B.1.177,0,0.0,336
1451,Argentina,2021-07-26,Delta,44,13.1,336
1459,Argentina,2021-07-26,Omicron,0,0.0,336
1463,Argentina,2021-07-26,non_who,4,1.18,336
1464,Argentina,2021-08-09,Alpha,13,2.71,480
1469,Argentina,2021-08-09,B.1.177,0,0.0,480
1475,Argentina,2021-08-09,Delta,86,17.92,480
1483,Argentina,2021-08-09,Omicron,0,0.0,480
1487,Argentina,2021-08-09,non_who,3,0.62,480
1488,Argentina,2021-08-23,Alpha,9,2.01,447
1493,Argentina,2021-08-23,B.1.177,0,0.0,447
1499,Argentina,2021-08-23,Delta,85,19.02,447
1507,Argentina,2021-08-23,Omicron,0,0.0,447
1511,Argentina,2021-08-23,non_who,0,0.0,447
1512,Argentina,2021-09-06,Alpha,4,0.89,447
1517,Argentina,2021-09-06,B.1.177,0,0.0,447
1523,Argentina,2021-09-06,Delta,90,20.13,447
1531,Argentina,2021-09-06,Omicron,0,0.0,447
1535,Argentina,2021-09-06,non_who,2,0.46,447
1536,Argentina,2021-09-20,Alpha,3,0.96,313
1541,Argentina,2021-09-20,B.1.177,0,0.0,313
1547,Argentina,2021-09-20,Delta,127,40.58,313
1555,Argentina,2021-09-20,Omicron,0,0.0,313
1559,Argentina,2021-09-20,non_who,1,0.31,313
1560,Argentina,2021-10-04,Alpha,2,0.84,237
1565,Argentina,2021-10-04,B.1.177,0,0.0,237
1571,Argentina,2021-10-04,Delta,113,47.68,237
1579,Argentina,2021-10-04,Omicron,0,0.0,237
1583,Argentina,2021-10-04,non_who,2,0.85,237
1584,Argentina,2021-10-18,Alpha,3,0.83,361
1589,Argentina,2021-10-18,B.1.177,0,0.0,361
1595,Argentina,2021-10-18,Delta,171,47.37,361
1603,Argentina,2021-10-18,Omicron,0,0.0,361
1607,Argentina,2021-10-18,non_who,1,0.29,361
1608,Argentina,2021-11-01,Alpha,10,1.81,553
1613,Argentina,2021-11-01,B.1.177,0,0.0,553
1619,Argentina,2021-11-01,Delta,417,75.41,553
1627,Argentina,2021-11-01,Omicron,0,0.0,553
1631,Argentina,2021-11-01,non_who,1,0.18,553
1632,Argentina,2021-11-15,Alpha,4,1.2,332
1637,Argentina,2021-11-15,B.1.177,0,0.0,332
1643,Argentina,2021-11-15,Delta,270,81.33,332
1651,Argentina,2021-11-15,Omicron,0,0.0,332
1655,Argentina,2021-11-15,non_who,1,0.3,332
1656,Argentina,2021-11-29,Alpha,0,0.0,117
1661,Argentina,2021-11-29,B.1.177,0,0.0,117
1667,Argentina,2021-11-29,Delta,105,89.74,117
1675,Argentina,2021-11-29,Omicron,0,0.0,117
1679,Argentina,2021-11-29,non_who,0,0.0,117
1680,Argentina,2021-12-13,Alpha,0,0.0,87
1685,Argentina,2021-12-13,B.1.177,0,0.0,87
1691,Argentina,2021-12-13,Delta,70,80.46,87
1699,Argentina,2021-12-13,Omicron,13,14.94,87
1703,Argentina,2021-12-13,non_who,0,0.0,87
1704,Argentina,2021-12-27,Alpha,0,0.0,94
1709,Argentina,2021-12-27,B.1.177,0,0.0,94
1715,Argentina,2021-12-27,Delta,12,12.77,94
1723,Argentina,2021-12-27,Omicron,80,85.11,94
1727,Argentina,2021-12-27,non_who,2,2.12,94
1728,Aruba,2020-08-17,Alpha,0,0.0,4
1733,Aruba,2020-08-17,B.1.177,0,0.0,4
1739,Aruba,2020-08-17,Delta,0,0.0,4
1747,Aruba,2020-08-17,Omicron,0,0.0,4
1751,Aruba,2020-08-17,non_who,4,100.0,4
1752,Aruba,2020-08-31,Alpha,0,0.0,1
1757,Aruba,2020-08-31,B.1.177,0,0.0,1
1763,Aruba,2020-08-31,Delta,0,0.0,1
1771,Aruba,2020-08-31,Omicron,0,0.0,1
1775,Aruba,2020-08-31,non_who,1,100.0,1
1776,Aruba,2021-01-25,Alpha,1,3.85,26
1781,Aruba,2021-01-25,B.1.177,2,7.69,26
1787,Aruba,2021-01-25,Delta,0,0.0,26
1795,Aruba,2021-01-25,Omicron,0,0.0,26
1799,Aruba,2021-01-25,non_who,23,88.46,26
1800,Aruba,2021-02-08,Alpha,9,7.89,114
1805,Aruba,2021-02-08,B.1.177,3,2.63,114
1811,Aruba,2021-02-08,Delta,0,0.0,114
1819,Aruba,2021-02-08,Omicron,0,0.0,114
1823,Aruba,2021-02-08,non_who,102,89.48,114
1824,Aruba,2021-02-22,Alpha,37,24.03,154
1829,Aruba,2021-02-22,B.1.177,6,3.9,154
1835,Aruba,2021-02-22,Delta,0,0.0,154
1843,Aruba,2021-02-22,Omicron,0,0.0,154
1847,Aruba,2021-02-22,non_who,101,65.58,154
1848,Aruba,2021-03-08,Alpha,65,52.0,125
1853,Aruba,2021-03-08,B.1.177,7,5.6,125
1859,Aruba,2021-03-08,Delta,0,0.0,125
1867,Aruba,2021-03-08,Omicron,0,0.0,125
1871,Aruba,2021-03-08,non_who,36,28.8,125
1872,Aruba,2021-03-22,Alpha,66,66.67,99
1877,Aruba,2021-03-22,B.1.177,0,0.0,99
1883,Aruba,2021-03-22,Delta,0,0.0,99
1891,Aruba,2021-03-22,Omicron,0,0.0,99
1895,Aruba,2021-03-22,non_who,11,11.11,99
1896,Aruba,2021-04-05,Alpha,74,80.43,92
1901,Aruba,2021-04-05,B.1.177,0,0.0,92
1907,Aruba,2021-04-05,Delta,0,0.0,92
1915,Aruba,2021-04-05,Omicron,0,0.0,92
1919,Aruba,2021-04-05,non_who,3,3.27,92
1920,Aruba,2021-04-19,Alpha,96,66.21,145
1925,Aruba,2021-04-19,B.1.177,0,0.0,145
1931,Aruba,2021-04-19,Delta,14,9.66,145
1939,Aruba,2021-04-19,Omicron,0,0.0,145
1943,Aruba,2021-04-19,non_who,10,6.88,145
1944,Aruba,2021-05-03,Alpha,86,61.43,140
1949,Aruba,2021-05-03,B.1.177,0,0.0,140
1955,Aruba,2021-05-03,Delta,2,1.43,140
1963,Aruba,2021-05-03,Omicron,0,0.0,140
1967,Aruba,2021-05-03,non_who,8,5.72,140
1968,Aruba,2021-05-17,Alpha,54,53.47,101
1973,Aruba,2021-05-17,B.1.177,0,0.0,101
1979,Aruba,2021-05-17,Delta,10,9.9,101
1987,Aruba,2021-05-17,Omicron,0,0.0,101
1991,Aruba,2021-05-17,non_who,2,1.98,101
1992,Aruba,2021-05-31,Alpha,52,48.6,107
1997,Aruba,2021-05-31,B.1.177,0,0.0,107
2003,Aruba,2021-05-31,Delta,0,0.0,107
2011,Aruba,2021-05-31,Omicron,0,0.0,107
2015,Aruba,2021-05-31,non_who,1,0.94,107
2016,Aruba,2021-06-14,Alpha,5,5.62,89
2021,Aruba,2021-06-14,B.1.177,0,0.0,89
2027,Aruba,2021-06-14,Delta,4,4.49,89
2035,Aruba,2021-06-14,Omicron,0,0.0,89
2039,Aruba,2021-06-14,non_who,0,0.0,89
2040,Aruba,2021-06-28,Alpha,3,12.5,24
2045,Aruba,2021-06-28,B.1.177,0,0.0,24
2051,Aruba,2021-06-28,Delta,0,0.0,24
2059,Aruba,2021-06-28,Omicron,0,0.0,24
2063,Aruba,2021-06-28,non_who,0,-0.01,24
2064,Aruba,2021-07-12,Alpha,2,6.9,29
2069,Aruba,2021-07-12,B.1.177,0,0.0,29
2075,Aruba,2021-07-12,Delta,13,44.83,29
2083,Aruba,2021-07-12,Omicron,0,0.0,29
2087,Aruba,2021-07-12,non_who,0,0.0,29
2088,Aruba,2021-07-26,Alpha,1,1.03,97
2093,Aruba,2021-07-26,B.1.177,0,0.0,97
2099,Aruba,2021-07-26,Delta,84,86.6,97
2107,Aruba,2021-07-26,Omicron,0,0.0,97
2111,Aruba,2021-07-26,non_who,0,0.0,97
2112,Aruba,2021-08-09,Alpha,0,0.0,341
2117,Aruba,2021-08-09,B.1.177,0,0.0,341
2123,Aruba,2021-08-09,Delta,335,98.24,341
2131,Aruba,2021-08-09,Omicron,0,0.0,341
2135,Aruba,2021-08-09,non_who,0,0.0,341
2136,Aruba,2021-08-23,Alpha,0,0.0,525
2141,Aruba,2021-08-23,B.1.177,0,0.0,525
2147,Aruba,2021-08-23,Delta,518,98.67,525
2155,Aruba,2021-08-23,Omicron,0,0.0,525
2159,Aruba,2021-08-23,non_who,0,0.0,525
2160,Aruba,2021-09-06,Alpha,0,0.0,261
2165,Aruba,2021-09-06,B.1.177,0,0.0,261
2171,Aruba,2021-09-06,Delta,258,98.85,261
2179,Aruba,2021-09-06,Omicron,0,0.0,261
2183,Aruba,2021-09-06,non_who,0,0.0,261
2184,Aruba,2021-09-20,Alpha,0,0.0,140
2189,Aruba,2021-09-20,B.1.177,0,0.0,140
2195,Aruba,2021-09-20,Delta,140,100.0,140
2203,Aruba,2021-09-20,Omicron,0,0.0,140
2207,Aruba,2021-09-20,non_who,0,0.0,140
2208,Aruba,2021-10-04,Alpha,0,0.0,177
2213,Aruba,2021-10-04,B.1.177,0,0.0,177
2219,Aruba,2021-10-04,Delta,177,100.0,177
2227,Aruba,2021-10-04,Omicron,0,0.0,177
2231,Aruba,2021-10-04,non_who,0,0.0,177
2232,Aruba,2021-10-18,Alpha,0,0.0,37
2237,Aruba,2021-10-18,B.1.177,0,0.0,37
2243,Aruba,2021-10-18,Delta,37,100.0,37
2251,Aruba,2021-10-18,Omicron,0,0.0,37
2255,Aruba,2021-10-18,non_who,0,0.0,37
2256,Aruba,2021-11-15,Alpha,0,0.0,68
2261,Aruba,2021-11-15,B.1.177,0,0.0,68
2267,Aruba,2021-11-15,Delta,68,100.0,68
2275,Aruba,2021-11-15,Omicron,0,0.0,68
2279,Aruba,2021-11-15,non_who,0,0.0,68
2280,Aruba,2021-11-29,Alpha,0,0.0,43
2285,Aruba,2021-11-29,B.1.177,0,0.0,43
2291,Aruba,2021-11-29,Delta,43,100.0,43
2299,Aruba,2021-11-29,Omicron,0,0.0,43
2303,Aruba,2021-11-29,non_who,0,0.0,43
2304,Aruba,2021-12-13,Alpha,0,0.0,61
2309,Aruba,2021-12-13,B.1.177,0,0.0,61
2315,Aruba,2021-12-13,Delta,61,100.0,61
2323,Aruba,2021-12-13,Omicron,0,0.0,61
2327,Aruba,2021-12-13,non_who,0,0.0,61
2328,Australia,2020-05-11,Alpha,0,0.0,148
2333,Australia,2020-05-11,B.1.177,0,0.0,148
2339,Australia,2020-05-11,Delta,0,0.0,148
2347,Australia,2020-05-11,Omicron,0,0.0,148
2351,Australia,2020-05-11,non_who,148,100.0,148
2352,Australia,2020-05-25,Alpha,0,0.0,103
2357,Australia,2020-05-25,B.1.177,0,0.0,103
2363,Australia,2020-05-25,Delta,0,0.0,103
2371,Australia,2020-05-25,Omicron,0,0.0,103
2375,Australia,2020-05-25,non_who,103,100.0,103
2376,Australia,2020-06-08,Alpha,0,0.0,94
2381,Australia,2020-06-08,B.1.177,0,0.0,94
2387,Australia,2020-06-08,Delta,0,0.0,94
2395,Australia,2020-06-08,Omicron,0,0.0,94
2399,Australia,2020-06-08,non_who,94,100.0,94
2400,Australia,2020-06-22,Alpha,0,0.0,172
2405,Australia,2020-06-22,B.1.177,0,0.0,172
2411,Australia,2020-06-22,Delta,0,0.0,172
2419,Australia,2020-06-22,Omicron,0,0.0,172
2423,Australia,2020-06-22,non_who,172,100.0,172
2424,Australia,2020-07-06,Alpha,0,0.0,814
2429,Australia,2020-07-06,B.1.177,0,0.0,814
2435,Australia,2020-07-06,Delta,0,0.0,814
2443,Australia,2020-07-06,Omicron,0,0.0,814
2447,Australia,2020-07-06,non_who,814,100.0,814
2448,Australia,2020-07-20,Alpha,0,0.0,2733
2453,Australia,2020-07-20,B.1.177,0,0.0,2733
2459,Australia,2020-07-20,Delta,0,0.0,2733
2467,Australia,2020-07-20,Omicron,0,0.0,2733
2471,Australia,2020-07-20,non_who,2733,100.0,2733
